Car;Total;Front;Rear;Distribution;Battery
Mercedes EQV - 7 seater;2960;1580;1380;53/47;100 kWh
Hongqi E-HS9 - 99 kWh 6 seater;2780;1300;1480;47/53;99 kWh
Mercedes EQS - 580 4Matic;2760;1360;1400;49/51;120 kWh
Audi e-tron - 55;2720;1360;1360;50/50;95 kWh
BMW iX - xDrive50;2720;1280;1440;47/53;111 kWh
Mercedes EQE - 43 AMG;2640;1320;1320;50/50;100 kWh
Mercedes EQC;2620;1240;1380;47/53;~90 kWh
Mercedes EQE - 53 4Matic+;2620;1320;1300;50/50;100 kWh
Mercedes EQS - 450+;2620;1240;1380;47/53;120 kWh
VW ID Buzz - 82 kWh;2600;1280;1320;49/51;82 kWh
BYD Tang;2580;1240;1340;48/52;86.4 kWh
Nio ES8 - 100 kWh 6 seater;2580;1260;1320;49/51;100 kWh
Audi e-tron - 50;2560;1300;1260;51/49;71 kWh
BMW iX - xDrive40;2540;1220;1320;48/52;76.6 kWh
Audi e-tron - 50 Sportback;2520;1280;1240;51/49;71 kWh
Citroen e-Spacetourer - 7 seater;2520;1360;1160;54/46;75 kWh
Mercedes EQE - 300;2480;1200;1280;48/52;100 kWh
VW ID Buzz - Cargo 82 kWh;2460;1240;1220;50/50;82 kWh
Polestar 1;2440;1160;1280;48/52;34 kWh
Porsche Taycan - Cross Turismo 4;2440;1200;1240;49/51;93 kWh
Audi e-tron - GT;2420;1200;1220;50/50;93 kWh
Voyah Free;2420;1200;1220;50/50;107 kWh
BMW i4 - M50;2400;1140;1260;48/53;84 kWh
Porsche Taycan - 4S 93 kWh;2380;1180;1200;50/50;93,4 kWh
Tesla Model S - Performance Raven;2360;1200;1160;51/49;100 kWh
VW ID4 - GTX;2360;1160;1200;49/51;82 kWh
VW ID5 - GTX;2360;1160;1200;49/51;82 kWh
Jaguar I-Pace - 90 kWh;2340;1240;1100;53/47;90 kWh
Jaguar I-Pace - EV320;2340;1240;1100;53/47;90 kWh
Skoda Enyaq - Coupé RS;2340;1180;1160;50/50;82 kWh
Porsche Taycan - 4S 79 kWh;2320;1180;1140;51/49;79 kWh
BMW iX3;2300;1000;1300;43/57;80 kWh
Ford Mustang - Mach-E LR AWD;2300;1120;1180;49/51;99 kWh
Volvo XC40 - AWD;2300;1180;1120;51/49;78 kWh
Mercedes EQB - 350 4Matic;2280;1120;1160;49/51;79.8 kWh
Skoda Enyaq - iV 80;2280;1080;1200;47/53;82 kWh
Volvo C40 - AWD;2280;1160;1120;51/49;78 kWh
Audi Q4 e-tron - 40;2260;1060;1200;47/53;82 kWh
VW ID4 - Max;2260;1060;1200;47/53;82 kWh
Tesla Model S - LR Raven;2240;1160;1080;52/48;100 kWh
Tesla Model S - P85 7 seater;2240;1060;1180;47/53;85 kWh
VW ID4 - 1st;2220;1060;1160;48/52;82 kWh
Polestar 2;2240;1140;1100;51/49;78 kWh
Xpeng P7 - Performance Wing Edition;2240;1080;1160;48/52;80.9 kWh
Ford Mustang - Mach-E LR RWD;2220;1040;1180;47/53;99 kWh
Kia EV6 - 77 kWh AWD;2220;1080;1140;49/51;82.5 kWh
Mercedes EQA - 350 4Matic;2220;1120;1100;50/50;79.8 kWh
Nissan Ariya - 87 kWh FWD;2220;1200;1020;54/46;91 kWh
VW ID4 - 1st;2220;1060;1160;48/52;82 kWh
BMW i4 - eDrive40;2200;980;1220;45/55;84 kWh
Hyundai Ioniq5 - AWD;2200;1120;1080;51/49;77.4 kWh
Tesla Model S - P85 MF;2200;1040;1160;47/53;85 kWh
Xpeng P7 - Performance;2160;1020;1140;47/53;80.9 kWh
Volvo XC40 - FWD;2120;1140;980;54/46;69 kWh
Kia EV6 - 77 kWh RWD;2100;980;1120;47/53;82.5 kWh
Mercedes EQA - 250;2100;1100;1000;52/48;79.8 kWh
MG Marvel - R Performance;2100;1000;1100;48/52;~75 kWh
Tesla Model Y - Performance;2100;1040;1060;50/50;82 kWh
Polestar 2 - SR SM;2060;1140;920;55/45;64 kWh
Tesla Model Y - LR;2060;1020;1040;50/50;79 kWh
Nissan Ariya - 63 kWh;2040;1120;920;55/45;66 kWh
VW ID3 - 82 kWh;2020;980;1040;49/51;82 kWh
Tesla Model 3 - LR 82 kWh;1980;1000;980;51/49;79 kWh
Maxus Euniq - 5;1960;1040;920;53/47;53 kWh
Tesla Model 3 - Performance 2019;1960;980;980;50/50;~80 kWh
Tesla Model 3 - LR 2021;1940;980;960;51/49;82 kWh
Tesla Model 3 - Performance 2021;1940;980;960;51/49;82 kWh
VW ID3 - 1st Max;1920;960;960;50/50;62 kWh
Cupra Born - 58;1880;940;940;50/50;62 kWh
Lexus UX - 300e;1880;1000;880;53/47;54 kWh
Tesla Model 3 - LR RWD;1880;900;980;48/52;~80 kWh
Kia e-Niro - 64 kWh;1860;1020;840;55/45;~70 kWh
Kia e-Soul - 64 kWh;1860;1020;840;55/45;~70 kWh
Tesla Model 3 - SR+ 60 kWh;1860;920;940;49/51;~65 kWh
VW ID3 - 1st Plus;1860;940;920;51/49;62 kWh
BYD Atto 3 - 60 kWh;1850;990;860;54/46;~65 kWh
Hyundai Kona - 64 kWh;1840;1000;840;54/46;~70 kWh
Tesla Model 3 - SR+ MIC;1840;900;940;49/51;~60 kWh
VW ID3 - 1st;1840;920;920;50/50;62 kWh
Kia Niro - EV 64 kWh;1820;1020;800;56/44;~70 kWh
Nissan Leaf - 62 kWh;1820;1020;800;56/44;62 kWh
VW ID3;1820;920;1000;48/52;55 kWh
Renault Megane E-Tech  - 60 kWh;1800;1020;780;57/43;60 kWh
Mazda MX-30;1760;980;780;56/44;35.5 kWh
MG ZS - EV;1760;1020;740;58/42;72 kWh
Citroen e-C4;1740;960;780;55/45;50 kWh
Nissan e-NV200 - 40 kWh;1740;1000;740;57/43;40 kWh
Tesla Model 3 - SR+ 2019;1740;800;940;46/54;~55 kWh
Xpeng G3 - 520i;1740;1000;740;57/43;66.5 kWh
Maxus e-Deliver - 3;1720;980;740;57/43;52.5 kWh
Tesla Model 3 - SR+ 2021;1720;820;900;48/52;~55 kWh
Xpeng G3 - 520 Chinese;1720;1000;720;58/42;66.5 kWh
Kia Ceed - PHEV;1700;920;780;54/46;8.9 kWh
Nissan Leaf - 40 kWh;1700;960;740;56/44;40 kWh
Peugeot e-2008;1700;940;760;55/45;50 kWh
VW e-Golf - 35.8 kWh;1700;920;780;54/46;36 kWh
Hyundai Ioniq - 38 kWh;1680;840;840;50/50;~42 kWh
Kia Soul - 30 kWh;1680;960;720;57/43;~34 kWh
MG 5;1680;960;720;57/43;61 kWh
Ora Good Cat - GT;1670;930;740;56/44;63 kWh
DS 3 e-tense;1660;920;740;55/45;50 kWh
Opel Mokka-e;1660;940;720;57/43;50 kWh
Renault Zoe - ZE50;1640;960;680;59/41;52 kWh
MG ZS - EV;1640;960;680;59/41;~50 kWh
Honda e;1620;820;800;51/49;35.5 kWh
Hyundai Ioniq - 28 kWh;1600;780;820;49/51;~31 kWh
Opel Corsa-e;1600;900;700;56/44;50 kWh
Peugeot e-208;1600;900;700;56/44;50 kWh
Mini Cooper - SE;1480;860;620;58/42;33 kWh
Fiat 500e;1460;840;620;58/42;42 kWh
BMW i3 - 42 kWh;1440;700;740;49/51;42 kWh
BMW i3 - 42 kWh;1420;680;740;48/52;42 kWh
BMW i3 - 22 kWh;1360;640;720;47/53;22 kWh
VW e-Up - 36.8 kWh;1280;720;560;56/44;36.8 kWh
VW e-Up - 18.7 kWh;1260;720;540;57/43;18.7 kWh
Mitsubishi i-MiEV;1200;560;640;47/53;16 kWh